"id,desc,shelf,level,position,x,y,z,time,status,session",desc,shelf,level,position,x,y,z,time,status,session
"ITEM_001,Полка A, ур.0, поз.1,A,0,1,1.486,2.8,1.11,1778734501.23,FOUND,20260514_075500",,,,,,,,,,
"ITEM_002,Полка A, ур.0, поз.2,A,0,2,-2.374,2.8,1.126,1778734512.45,FOUND,20260514_075500",,,,,,,,,,
"ITEM_003,Полка A, ур.0, поз.3,A,0,3,2.613,2.8,1.125,1778734523.67,FOUND,20260514_075500",,,,,,,,,,
"ITEM_004,Полка A, ур.0, поз.4,A,0,4,-3.455,2.8,1.125,1778734534.89,FOUND,20260514_075500",,,,,,,,,,
"ITEM_005,Полка A, ур.0, поз.5,A,0,5,-4.674,2.8,1.126,1778734546.11,FOUND,20260514_075500",,,,,,,,,,
"ITEM_006,Полка A, ур.0, поз.6,A,0,6,-5.955,2.8,1.125,1778734557.33,FOUND,20260514_075500",,,,,,,,,,
"ITEM_007,Полка A, ур.1, поз.1,A,1,1,-3.255,2.8,2.69,1778734568.55,FOUND,20260514_075500",,,,,,,,,,
"ITEM_008,Полка A, ур.1, поз.2,A,1,2,0.335,2.8,1.882,1778734579.77,FOUND,20260514_075500",,,,,,,,,,
"ITEM_009,Полка A, ур.1, поз.3,A,1,3,0.335,2.8,2.56,1778734590.99,FOUND,20260514_075500",,,,,,,,,,
"ITEM_010,Полка A, ур.1, поз.4,A,1,4,2.569,2.8,2.707,1778734602.21,FOUND,20260514_075500",,,,,,,,,,
"ITEM_011,Полка A, ур.1, поз.5,A,1,5,-2.303,2.8,2.707,1778734613.43,FOUND,20260514_075500",,,,,,,,,,
"ITEM_012,Полка A, ур.1, поз.6,A,1,6,-4.674,2.8,2.707,1778734624.65,FOUND,20260514_075500",,,,,,,,,,
"ITEM_013,Полка A, ур.1, поз.7,A,1,7,-5.955,2.8,2.707,1778734635.87,FOUND,20260514_075500",,,,,,,,,,
"ITEM_014,Полка A, ур.1, поз.8,A,1,8,-0.800,2.8,2.69,1778734647.09,FOUND,20260514_075500",,,,,,,,,,
"ITEM_015,Полка A, ур.2, поз.1,A,2,1,-2.190,2.8,3.52,1778734658.31,FOUND,20260514_075500",,,,,,,,,,
"ITEM_016,Полка A, ур.2, поз.2,A,2,2,-4.690,2.8,3.52,1778734669.53,FOUND,20260514_075500",,,,,,,,,,
"ITEM_017,Полка A, ур.2, поз.3,A,2,3,-5.890,2.8,3.52,1778734680.75,FOUND,20260514_075500",,,,,,,,,,
"ITEM_018,Полка A, ур.2, поз.4,A,2,4,-3.255,2.8,4.323,1778734691.97,FOUND,20260514_075500",,,,,,,,,,
"ITEM_019,Полка A, ур.2, поз.5,A,2,5,2.569,2.8,4.323,1778734703.19,FOUND,20260514_075500",,,,,,,,,,
"ITEM_020,Полка A, ур.2, поз.6,A,2,6,-0.800,2.8,4.323,1778734714.41,FOUND,20260514_075500",,,,,,,,,,
"ITEM_021,Полка B, ур.0, поз.1,B,0,1,1.486,-0.9,1.11,1778734725.63,FOUND,20260514_075500",,,,,,,,,,
"ITEM_022,Полка B, ур.0, поз.2,B,0,2,2.900,-0.9,1.125,1778734736.85,FOUND,20260514_075500",,,,,,,,,,
"ITEM_023,Полка B, ур.1, поз.1,B,1,1,1.600,-0.9,2.65,1778734748.07,FOUND,20260514_075500",,,,,,,,,,
"ITEM_024,Полка B, ур.1, поз.2,B,1,2,2.900,-0.9,2.65,1778734759.29,FOUND,20260514_075500",,,,,,,,,,
"ITEM_025,Полка B, ур.2, поз.1,B,2,1,1.600,-0.9,4.32,1778734770.51,FOUND,20260514_075500",,,,,,,,,,
"ITEM_026,Полка B, ур.2, поз.2,B,2,2,2.900,-0.9,4.32,1778734781.73,FOUND,20260514_075500",,,,,,,,,,
